Nation,Rank,Points,World Cup Wins,Possession in Group,Possession in Round of 16,Possession in Quarter-final,Possession in Semi-final,Possession in Play-off for third place,Possession in Final,Total Passes in Group,Total Passes in Round of 16,Total Passes in Quarter-final,Total Passes in Semi-final,Total Passes in Play-off for third place,Total Passes in Final,Completed Passes in Group,Completed Passes in Round of 16,Completed Passes in Quarter-final,Completed Passes in Semi-final,Completed Passes in Play-off for third place,Completed Passes in Final,Shot Attempts in Group,Shot Attempts in Round of 16,Shot Attempts in Quarter-final,Shot Attempts in Semi-final,Shot Attempts in Play-off for third place,Shot Attempts in Final,Total Goals in Group,Total Goals in Round of 16,Total Goals in Quarter-final,Total Goals in Semi-final,Total Goals in Play-off for third place,Total Goals in Final,Close Range Goals in Group,Close Range Goals in Round of 16,Close Range Goals in Quarter-final,Close Range Goals in Semi-final,Close Range Goals in Play-off for third place,Close Range Goals in Final,Long Range Goals in Group,Long Range Goals in Round of 16,Long Range Goals in Quarter-final,Long Range Goals in Semi-final,Long Range Goals in Play-off for third place,Long Range Goals in Final,Conceded in Group,Conceded in Round of 16,Conceded in Quarter-final,Conceded in Semi-final,Conceded in Play-off for third place,Conceded in Final,Assists in Group,Assists in Round of 16,Assists in Quarter-final,Assists in Semi-final,Assists in Play-off for third place,Assists in Final,Fouls in Group,Fouls in Round of 16,Fouls in Quarter-final,Fouls in Semi-final,Fouls in Play-off for third place,Fouls in Final,Yellow Cards in Group,Yellow Cards in Round of 16,Yellow Cards in Quarter-final,Yellow Cards in Semi-final,Yellow Cards in Play-off for third place,Yellow Cards in Final,Red Cards in Group,Red Cards in Round of 16,Red Cards in Quarter-final,Red Cards in Semi-final,Red Cards in Play-off for third place,Red Cards in Final,Offsides in Group,Offsides in Round of 16,Offsides in Quarter-final,Offsides in Semi-final,Offsides in Play-off for third place,Offsides in Final,Saves in Group,Saves in Round of 16,Saves in Quarter-final,Saves in Semi-final,Saves in Play-off for third place,Saves in Final,Penalties in Group,Penalties in Round of 16,Penalties in Quarter-final,Penalties in Semi-final,Penalties in Play-off for third place,Penalties in Final,Free Kicks in Group,Free Kicks in Round of 16,Free Kicks in Quarter-final,Free Kicks in Semi-final,Free Kicks in Play-off for third place,Free Kicks in Final,Corners in Group,Corners in Round of 16,Corners in Quarter-final,Corners in Semi-final,Corners in Play-off for third place,Corners in Final,Own Goals in Group,Own Goals in Round of 16,Own Goals in Quarter-final,Own Goals in Semi-final,Own Goals in Play-off for third place,Own Goals in Final,Forced Turnovers in Group,Forced Turnovers in Round of 16,Forced Turnovers in Quarter-final,Forced Turnovers in Semi-final,Forced Turnovers in Play-off for third place,Forced Turnovers in Final,GroupID,Average Possession in Group,Goals Per Game in Group,Total Goals
Croatia,12,1645.64,0,141,51,45,54,45,0,1707,735,715,624,491,0,1487,624,632,551,430,0,30,16,9,12,14,0,4,1,1,0,2,0,3,1,1,0,2,0,1,0,0,0,0,0,1,1,1,3,1,0,4,1,1,0,2,0,31,16,22,8,13,0,2,2,2,2,0,0,0,0,0,0,0,0,6,0,3,0,2,0,33,11,21,10,7,0,0,0,0,0,0,0,34,16,27,16,13,0,12,5,3,4,6,0,0,0,0,0,0,0,215,100,95,63,75,0,F,47.0,1.33,8
Mexico,13,1644.89,0,145,0,0,0,0,0,1253,0,0,0,0,0,1045,0,0,0,0,0,42,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,51,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,C,48.33,0.67,2
Uruguay,14,1638.71,2,123,0,0,0,0,0,1364,0,0,0,0,0,1126,0,0,0,0,0,32,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,34,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,H,41.0,0.67,2
Switzerland,15,1635.92,0,124,48,0,0,0,0,1388,512,0,0,0,0,1177,436,0,0,0,0,26,10,0,0,0,0,4,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,4,0,0,0,0,0,42,10,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,26,15,0,0,0,0,0,0,0,0,0,0,42,15,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,226,54,0,0,0,0,G,41.33,1.33,5
United States,16,1627.48,0,136,54,0,0,0,0,1466,567,0,0,0,0,1290,487,0,0,0,0,28,18,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,40,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,21,13,0,0,0,0,0,0,0,0,0,0,36,10,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,216,77,0,0,0,0,B,45.33,0.67,3
Senegal,18,1584.38,0,124,35,0,0,0,0,1163,393,0,0,0,0,956,320,0,0,0,0,41,10,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,36,12,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,28,8,0,0,0,0,1,0,0,0,0,0,47,16,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,192,74,0,0,0,0,A,41.33,1.67,5
Wales,19,1569.82,0,123,0,0,0,0,0,1242,0,0,0,0,0,995,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,45,0,0,0,0,0,1,0,0,0,0,0,37,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,B,41.0,0.33,1
Iran,20,1564.61,0,94,0,0,0,0,0,982,0,0,0,0,0,735,0,0,0,0,0,35,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,37,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,B,31.33,1.33,4
Serbia,21,1563.62,0,128,0,0,0,0,0,1392,0,0,0,0,0,1164,0,0,0,0,0,31,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,43,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,G,42.67,1.67,5
Morocco,22,1563.5,0,100,22,22,55,45,0,1061,323,229,583,494,0,873,229,171,518,428,0,26,6,9,13,7,0,4,0,1,0,1,0,3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2,2,0,3,0,1,0,0,0,45,15,15,11,11,0,2,1,3,1,2,0,0,0,1,0,0,0,7,5,2,3,2,0,24,14,11,14,14,0,0,0,0,0,0,0,43,18,11,15,15,0,3,0,3,3,3,0,1,0,0,0,0,0,237,100,88,47,72,0,F,33.33,1.33,6
Japan,24,1559.54,0,84,35,0,0,0,0,1061,532,0,0,0,0,884,414,0,0,0,0,30,12,0,0,0,0,4,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,45,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,44,18,0,0,0,0,0,0,0,0,0,0,29,16,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,219,100,0,0,0,0,E,28.0,1.33,5
Poland,26,1548.59,0,85,42,0,0,0,0,946,466,0,0,0,0,738,391,0,0,0,0,20,11,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,40,8,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,16,0,0,0,0,0,1,0,0,0,0,43,11,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,206,64,0,0,0,0,C,28.33,0.67,3
Korea Republic,28,1530.3,0,125,44,0,0,0,0,1318,548,0,0,0,0,1121,486,0,0,0,0,39,10,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,32,13,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,32,18,0,0,0,0,0,0,0,0,0,0,33,8,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,161,81,0,0,0,0,H,41.67,1.33,5
Tunisia,30,1507.54,0,113,0,0,0,0,0,1216,0,0,0,0,0,964,0,0,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,D,37.67,0.33,1
Costa Rica,31,1503.59,0,83,0,0,0,0,0,1022,0,0,0,0,0,810,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,E,27.67,1.0,3
Australia,38,1488.72,0,90,35,0,0,0,0,1086,450,0,0,0,0,825,381,0,0,0,0,20,5,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,3,0,0,0,0,0,37,15,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49,14,0,0,0,0,0,0,0,0,0,0,37,11,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,234,73,0,0,0,0,D,30.0,1.0,4
Canada,41,1475.0,0,141,0,0,0,0,0,1498,0,0,0,0,0,1288,0,0,0,0,0,35,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,F,47.0,0.67,2
Cameroon,43,1471.44,0,115,0,0,0,0,0,1159,0,0,0,0,0,934,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,32,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,G,38.33,1.33,4
Ecuador,44,1464.39,0,140,0,0,0,0,0,1337,0,0,0,0,0,1107,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,50,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,47,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,A,46.67,1.33,4
Qatar,50,1439.89,0,122,0,0,0,0,0,1333,0,0,0,0,0,1128,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,A,40.67,0.33,1
Saudi Arabia,51,1437.78,0,110,0,0,0,0,0,1124,0,0,0,0,0,881,0,0,0,0,0,29,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,56,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,C,36.67,1.0,3
Ghana,61,1393.0,0,113,0,0,0,0,0,1173,0,0,0,0,0,963,0,0,0,0,0,25,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,46,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,H,37.67,1.67,5
